Param #4: delta OK; RMS=0.0011847 mm
Param #12: delta OK; RMS=0.00031919 mm
Param #20: delta OK; RMS=0.00026456 mm
Param #26: delta OK; RMS=0.0005532 mm
Param #35: delta OK; RMS=0.00073991 mm
Param #41: delta OK; RMS=0.00071217 mm
Param #50: delta OK; RMS=0.00031384 mm
Param #62: delta OK; RMS=0.00095154 mm
Param #70: delta OK; RMS=0.0010413 mm
Param #84: delta OK; RMS=0.00098902 mm
Param #92: delta OK; RMS=0.00099237 mm
Param #104: delta OK; RMS=0.00031514 mm
Param #113: delta OK; RMS=0.0007049 mm
Param #119: delta OK; RMS=0.0007191 mm
Param #126: delta OK; RMS=0.00030082 mm
Param #136: delta OK; RMS=0.00049134 mm
Param #140: delta OK; RMS=0.0012043 mm
Param #157: delta OK; RMS=0.00074882 mm
Param #161: delta OK; RMS=0.00042165 mm
Param #171: delta OK; RMS=0.00037879 mm
Param #178: delta OK; RMS=0.0012226 mm
Param #184: delta OK; RMS=0.0011597 mm
Param #193: delta OK; RMS=0.00036828 mm
Param #205: delta OK; RMS=0.00097195 mm
Param #213: delta OK; RMS=0.00078885 mm
Param #233: delta OK; RMS=0.0015717 mm
Param #242: delta OK; RMS=0.00054772 mm
Param #254: delta OK; RMS=0.00042122 mm
Param #263: delta OK; RMS=0.0011921 mm
Param #269: delta OK; RMS=0.0012078 mm
Param #276: delta OK; RMS=0.00033685 mm
Param #286: delta OK; RMS=0.00056503 mm
Param #290: delta OK; RMS=0.0016943 mm
Param #298: delta OK; RMS=0.0012232 mm
Param #302: delta OK; RMS=0.00042289 mm
Param #312: delta OK; RMS=0.00038533 mm
Param #319: delta OK; RMS=0.0016989 mm
Param #325: delta OK; RMS=0.0016793 mm
Param #334: delta OK; RMS=0.00047026 mm
Param #346: delta OK; RMS=0.00056803 mm
Param #354: delta OK; RMS=0.0014113 mm
Param #368: delta OK; RMS=0.0012906 mm
Param #376: delta OK; RMS=0.0006241 mm
Param #388: delta OK; RMS=0.00043857 mm
Param #397: delta OK; RMS=0.0016575 mm
Param #403: delta OK; RMS=0.0016828 mm
Param #410: delta OK; RMS=0.00038842 mm
Param #420: delta OK; RMS=0.00043343 mm
Param #424: delta OK; RMS=0.0011851 mm
Param #441: delta OK; RMS=0.0017215 mm
Param #445: delta OK; RMS=0.0005447 mm
