Param #4: delta OK; RMS=0.0012059 mm
Param #12: delta OK; RMS=0.00032345 mm
Param #20: delta OK; RMS=0.00027009 mm
Param #26: delta OK; RMS=0.00056902 mm
Param #35: delta OK; RMS=0.00080258 mm
Param #41: delta OK; RMS=0.00076923 mm
Param #50: delta OK; RMS=0.00032355 mm
Param #62: delta OK; RMS=0.00093563 mm
Param #70: delta OK; RMS=0.0010325 mm
Param #84: delta OK; RMS=0.0010096 mm
Param #92: delta OK; RMS=0.00094278 mm
Param #104: delta OK; RMS=0.00032817 mm
Param #113: delta OK; RMS=0.0007729 mm
Param #119: delta OK; RMS=0.00078789 mm
Param #126: delta OK; RMS=0.00030259 mm
Param #136: delta OK; RMS=0.00048038 mm
Param #140: delta OK; RMS=0.0011929 mm
Param #157: delta OK; RMS=0.00079399 mm
Param #161: delta OK; RMS=0.00043089 mm
Param #171: delta OK; RMS=0.00037224 mm
Param #178: delta OK; RMS=0.0012063 mm
Param #184: delta OK; RMS=0.0011452 mm
Param #193: delta OK; RMS=0.00036579 mm
Param #205: delta OK; RMS=0.00098707 mm
Param #213: delta OK; RMS=0.00078439 mm
Param #233: delta OK; RMS=0.0015126 mm
Param #242: delta OK; RMS=0.00057714 mm
Param #254: delta OK; RMS=0.00042272 mm
Param #263: delta OK; RMS=0.0011768 mm
Param #269: delta OK; RMS=0.0012007 mm
Param #276: delta OK; RMS=0.00034004 mm
Param #286: delta OK; RMS=0.00055086 mm
Param #290: delta OK; RMS=0.0016143 mm
Param #298: delta OK; RMS=0.0011933 mm
Param #302: delta OK; RMS=0.00043148 mm
Param #312: delta OK; RMS=0.00038256 mm
Param #319: delta OK; RMS=0.0016273 mm
Param #325: delta OK; RMS=0.0016006 mm
Param #334: delta OK; RMS=0.00045821 mm
Param #346: delta OK; RMS=0.00061815 mm
Param #354: delta OK; RMS=0.0013023 mm
Param #368: delta OK; RMS=0.0012794 mm
Param #376: delta OK; RMS=0.00062354 mm
Param #388: delta OK; RMS=0.00044641 mm
Param #397: delta OK; RMS=0.0016001 mm
Param #403: delta OK; RMS=0.0016275 mm
Param #410: delta OK; RMS=0.0003871 mm
Param #420: delta OK; RMS=0.00044778 mm
Param #424: delta OK; RMS=0.0011989 mm
Param #441: delta OK; RMS=0.001625 mm
Param #445: delta OK; RMS=0.00052976 mm
Param #457: delta OK; RMS=0.00032023 mm
Param #464: delta OK; RMS=0.0011988 mm
Param #470: delta OK; RMS=0.0012236 mm
Param #479: delta OK; RMS=0.00042203 mm
Param #491: delta OK; RMS=0.00056333 mm
Param #499: delta OK; RMS=0.0015596 mm
Param #519: delta OK; RMS=0.00076685 mm
Param #528: delta OK; RMS=0.0010059 mm
Param #540: delta OK; RMS=0.0003434 mm
Param #549: delta OK; RMS=0.0011284 mm
Param #555: delta OK; RMS=0.0012378 mm
Param #562: delta OK; RMS=0.00035852 mm
Param #572: delta OK; RMS=0.00040532 mm
