Param #41: delta OK; RMS=0.0010559 mm
Param #50: delta OK; RMS=0.00034623 mm
Param #104: delta OK; RMS=0.00033948 mm
Param #113: delta OK; RMS=0.0010527 mm
Param #119: delta OK; RMS=0.001072 mm
Param #126: delta OK; RMS=0.00030728 mm
Param #171: delta OK; RMS=0.0003102 mm
Param #178: delta OK; RMS=0.0010313 mm
Param #184: delta OK; RMS=0.0010169 mm
Param #193: delta OK; RMS=0.00034546 mm
Param #254: delta OK; RMS=0.00034043 mm
Param #263: delta OK; RMS=0.00098899 mm
Param #269: delta OK; RMS=0.001046 mm
Param #276: delta OK; RMS=0.00030949 mm
Param #312: delta OK; RMS=0.00030661 mm
Param #319: delta OK; RMS=0.0010621 mm
Param #325: delta OK; RMS=0.0010437 mm
Param #334: delta OK; RMS=0.00034574 mm
Param #388: delta OK; RMS=0.00034058 mm
Param #397: delta OK; RMS=0.0010405 mm
Param #403: delta OK; RMS=0.0010575 mm
Param #410: delta OK; RMS=0.00030788 mm
Param #457: delta OK; RMS=0.00030737 mm
Param #464: delta OK; RMS=0.0010574 mm
Param #470: delta OK; RMS=0.0010434 mm
Param #479: delta OK; RMS=0.00034173 mm
Param #540: delta OK; RMS=0.0003378 mm
Param #549: delta OK; RMS=0.0010144 mm
Param #555: delta OK; RMS=0.0010751 mm
Param #562: delta OK; RMS=0.00030345 mm
Param #598: delta OK; RMS=0.00031345 mm
Param #605: delta OK; RMS=0.001031 mm
Param #611: delta OK; RMS=0.0010153 mm
Param #620: delta OK; RMS=0.00034335 mm
Param #676: delta OK; RMS=0.00034582 mm
Param #685: delta OK; RMS=0.0010095 mm
Param #691: delta OK; RMS=0.001027 mm
Param #698: delta OK; RMS=0.00031052 mm
Param #734: delta OK; RMS=0.00031026 mm
Param #741: delta OK; RMS=0.0010679 mm
Param #747: delta OK; RMS=0.0010494 mm
Param #756: delta OK; RMS=0.00034916 mm
Param #812: delta OK; RMS=0.00034332 mm
Param #821: delta OK; RMS=0.0010472 mm
Param #827: delta OK; RMS=0.0010658 mm
Param #834: delta OK; RMS=0.00031182 mm
Param #870: delta OK; RMS=0.00030886 mm
Param #877: delta OK; RMS=0.0010323 mm
Param #883: delta OK; RMS=0.0010182 mm
Param #892: delta OK; RMS=0.00034576 mm
Param #946: delta OK; RMS=0.00033821 mm
Param #955: delta OK; RMS=0.0010153 mm
Param #961: delta OK; RMS=0.0010364 mm
Param #968: delta OK; RMS=0.00030685 mm
Param #1004: delta OK; RMS=0.00030928 mm
Param #1011: delta OK; RMS=0.00102 mm
Param #1017: delta OK; RMS=0.0010012 mm
Param #1026: delta OK; RMS=0.0003449 mm
Param #1080: delta OK; RMS=0.00034203 mm
Param #1089: delta OK; RMS=0.0010009 mm
Param #1095: delta OK; RMS=0.0010157 mm
Param #1102: delta OK; RMS=0.00031107 mm
Param #1138: delta OK; RMS=0.00030986 mm
Param #1145: delta OK; RMS=0.0010785 mm
Param #1151: delta OK; RMS=0.0010595 mm
Param #1160: delta OK; RMS=0.00034699 mm
Param #1214: delta OK; RMS=0.00034199 mm
Param #1223: delta OK; RMS=0.0010602 mm
Param #1229: delta OK; RMS=0.001079 mm
Param #1236: delta OK; RMS=0.00030877 mm
Param #1272: delta OK; RMS=0.00030824 mm
Param #1279: delta OK; RMS=0.0010289 mm
Param #1285: delta OK; RMS=0.0010144 mm
Param #1294: delta OK; RMS=0.00034667 mm
Param #1348: delta OK; RMS=0.00033929 mm
Param #1357: delta OK; RMS=0.001012 mm
Param #1363: delta OK; RMS=0.001031 mm
Param #1370: delta OK; RMS=0.00030695 mm
Param #1406: delta OK; RMS=0.00030398 mm
Param #1413: delta OK; RMS=0.0010531 mm
Param #1419: delta OK; RMS=0.0010335 mm
Param #1428: delta OK; RMS=0.00034107 mm
Param #1489: delta OK; RMS=0.0003411 mm
Param #1498: delta OK; RMS=0.001069 mm
Param #1504: delta OK; RMS=0.00097512 mm
Param #1511: delta OK; RMS=0.00029839 mm
Param #1550: delta OK; RMS=0.00030368 mm
Param #1557: delta OK; RMS=0.0010053 mm
Param #1563: delta OK; RMS=0.0010701 mm
Param #1572: delta OK; RMS=0.00034241 mm
Param #1626: delta OK; RMS=0.0003419 mm
Param #1635: delta OK; RMS=0.0010859 mm
Param #1641: delta OK; RMS=0.00097426 mm
Param #1648: delta OK; RMS=0.00029463 mm
Param #1687: delta OK; RMS=0.00030153 mm
Param #1694: delta OK; RMS=0.00095041 mm
Param #1700: delta OK; RMS=0.0010622 mm
Param #1709: delta OK; RMS=0.00034652 mm
Param #1767: delta OK; RMS=0.00034655 mm
Param #1776: delta OK; RMS=0.0010172 mm
Param #1782: delta OK; RMS=0.0010344 mm
Param #1789: delta OK; RMS=0.00031257 mm
Param #1825: delta OK; RMS=0.0003084 mm
Param #1832: delta OK; RMS=0.0010793 mm
Param #1838: delta OK; RMS=0.0010616 mm
Param #1847: delta OK; RMS=0.0003509 mm
Param #1901: delta OK; RMS=0.00033922 mm
Param #1910: delta OK; RMS=0.0010613 mm
Param #1916: delta OK; RMS=0.0010813 mm
Param #1923: delta OK; RMS=0.00031213 mm
Param #1959: delta OK; RMS=0.00030694 mm
Param #1966: delta OK; RMS=0.0010081 mm
Param #1972: delta OK; RMS=0.00099486 mm
Param #1981: delta OK; RMS=0.00034254 mm
Param #2042: delta OK; RMS=0.00033759 mm
Param #2051: delta OK; RMS=0.00099052 mm
Param #2057: delta OK; RMS=0.0010111 mm
Param #2064: delta OK; RMS=0.0003034 mm
Param #2100: delta OK; RMS=0.00031018 mm
Param #2107: delta OK; RMS=0.0010322 mm
Param #2113: delta OK; RMS=0.0010121 mm
Param #2122: delta OK; RMS=0.00034081 mm
Param #2176: delta OK; RMS=0.00034561 mm
Param #2185: delta OK; RMS=0.00101 mm
Param #2191: delta OK; RMS=0.0010241 mm
Param #2198: delta OK; RMS=0.00030752 mm
Param #2234: delta OK; RMS=0.00031383 mm
Param #2241: delta OK; RMS=0.0010967 mm
Param #2247: delta OK; RMS=0.0010797 mm
Param #2256: delta OK; RMS=0.00034727 mm
Param #2312: delta OK; RMS=0.00034828 mm
Param #2321: delta OK; RMS=0.0010733 mm
Param #2327: delta OK; RMS=0.0010944 mm
Param #2334: delta OK; RMS=0.00030949 mm
Param #2370: delta OK; RMS=0.00030964 mm
Param #2377: delta OK; RMS=0.001025 mm
Param #2383: delta OK; RMS=0.0010128 mm
Param #2392: delta OK; RMS=0.00034746 mm
Param #2446: delta OK; RMS=0.00033915 mm
Param #2455: delta OK; RMS=0.0010072 mm
Param #2461: delta OK; RMS=0.0010285 mm
Param #2468: delta OK; RMS=0.00030873 mm
Param #2504: delta OK; RMS=0.00030641 mm
Param #2511: delta OK; RMS=0.0010238 mm
Param #2517: delta OK; RMS=0.0010049 mm
Param #2526: delta OK; RMS=0.00034395 mm
Param #2580: delta OK; RMS=0.00034091 mm
Param #2589: delta OK; RMS=0.0010018 mm
Param #2595: delta OK; RMS=0.0010183 mm
Param #2602: delta OK; RMS=0.00030935 mm
Param #2643: delta OK; RMS=0.00031058 mm
Param #2650: delta OK; RMS=0.0010531 mm
Param #2656: delta OK; RMS=0.0010363 mm
Param #2665: delta OK; RMS=0.0003449 mm
Param #2726: delta OK; RMS=0.00033885 mm
Param #2735: delta OK; RMS=0.0010122 mm
Param #2741: delta OK; RMS=0.0010721 mm
Param #2748: delta OK; RMS=0.00030704 mm
Param #2786: delta OK; RMS=0.00030868 mm
Param #2793: delta OK; RMS=0.0010248 mm
Param #2799: delta OK; RMS=0.0010078 mm
Param #2808: delta OK; RMS=0.00034473 mm
Param #2862: delta OK; RMS=0.00034246 mm
Param #2871: delta OK; RMS=0.0010065 mm
Param #2877: delta OK; RMS=0.001023 mm
Param #2884: delta OK; RMS=0.00030755 mm
Param #2925: delta OK; RMS=0.0003117 mm
Param #2932: delta OK; RMS=0.0010744 mm
Param #2938: delta OK; RMS=0.0010569 mm
Param #2947: delta OK; RMS=0.00034731 mm
Param #3010: delta OK; RMS=0.0003435 mm
Param #3019: delta OK; RMS=0.0010262 mm
Param #3025: delta OK; RMS=0.0010852 mm
Param #3032: delta OK; RMS=0.00031377 mm
Param #3068: delta OK; RMS=0.00030929 mm
Param #3075: delta OK; RMS=0.0010422 mm
Param #3081: delta OK; RMS=0.0010286 mm
Param #3090: delta OK; RMS=0.00034369 mm
Param #3146: delta OK; RMS=0.00033808 mm
Param #3155: delta OK; RMS=0.0010253 mm
