Param #42: delta OK; RMS=0.00086545 mm
Param #51: delta OK; RMS=0.0004184 mm
Param #105: delta OK; RMS=0.00041753 mm
Param #114: delta OK; RMS=0.00086395 mm
Param #120: delta OK; RMS=0.000882 mm
Param #127: delta OK; RMS=0.00040827 mm
Param #172: delta OK; RMS=0.00040728 mm
Param #179: delta OK; RMS=0.0008761 mm
Param #185: delta OK; RMS=0.00085936 mm
Param #194: delta OK; RMS=0.00041759 mm
Param #255: delta OK; RMS=0.00041462 mm
Param #264: delta OK; RMS=0.00083863 mm
Param #270: delta OK; RMS=0.00088878 mm
Param #277: delta OK; RMS=0.00040813 mm
Param #313: delta OK; RMS=0.00040768 mm
Param #320: delta OK; RMS=0.00088238 mm
Param #326: delta OK; RMS=0.00086427 mm
Param #335: delta OK; RMS=0.00041675 mm
Param #389: delta OK; RMS=0.00041781 mm
Param #398: delta OK; RMS=0.00086455 mm
Param #404: delta OK; RMS=0.00088129 mm
Param #411: delta OK; RMS=0.00040698 mm
Param #458: delta OK; RMS=0.0004089 mm
Param #465: delta OK; RMS=0.00088896 mm
Param #471: delta OK; RMS=0.00087197 mm
Param #480: delta OK; RMS=0.00041915 mm
Param #541: delta OK; RMS=0.00041681 mm
Param #550: delta OK; RMS=0.00085106 mm
Param #556: delta OK; RMS=0.00090179 mm
Param #563: delta OK; RMS=0.00040945 mm
Param #599: delta OK; RMS=0.00040872 mm
Param #606: delta OK; RMS=0.00088456 mm
Param #612: delta OK; RMS=0.00086831 mm
Param #621: delta OK; RMS=0.00041819 mm
Param #677: delta OK; RMS=0.00041766 mm
Param #686: delta OK; RMS=0.00086347 mm
Param #692: delta OK; RMS=0.0008821 mm
Param #699: delta OK; RMS=0.00040715 mm
Param #735: delta OK; RMS=0.00040719 mm
Param #742: delta OK; RMS=0.00087634 mm
Param #748: delta OK; RMS=0.00085908 mm
Param #757: delta OK; RMS=0.00041687 mm
Param #813: delta OK; RMS=0.00041672 mm
Param #822: delta OK; RMS=0.00085829 mm
Param #828: delta OK; RMS=0.00087574 mm
Param #835: delta OK; RMS=0.00040706 mm
Param #871: delta OK; RMS=0.00040817 mm
Param #878: delta OK; RMS=0.00088112 mm
Param #884: delta OK; RMS=0.00086304 mm
Param #893: delta OK; RMS=0.00041721 mm
Param #947: delta OK; RMS=0.00041806 mm
Param #956: delta OK; RMS=0.00086328 mm
Param #962: delta OK; RMS=0.00088005 mm
Param #969: delta OK; RMS=0.00040755 mm
Param #1005: delta OK; RMS=0.00040846 mm
Param #1012: delta OK; RMS=0.0008886 mm
Param #1018: delta OK; RMS=0.00087086 mm
Param #1027: delta OK; RMS=0.00041849 mm
Param #1081: delta OK; RMS=0.00041845 mm
Param #1090: delta OK; RMS=0.00087051 mm
Param #1096: delta OK; RMS=0.00088779 mm
Param #1103: delta OK; RMS=0.00040827 mm
Param #1139: delta OK; RMS=0.00040759 mm
Param #1146: delta OK; RMS=0.00088457 mm
Param #1152: delta OK; RMS=0.00086765 mm
Param #1161: delta OK; RMS=0.00041815 mm
Param #1215: delta OK; RMS=0.00041729 mm
Param #1224: delta OK; RMS=0.00086624 mm
Param #1230: delta OK; RMS=0.00088424 mm
Param #1237: delta OK; RMS=0.0004078 mm
Param #1273: delta OK; RMS=0.00040746 mm
Param #1280: delta OK; RMS=0.00087679 mm
Param #1286: delta OK; RMS=0.00085962 mm
Param #1295: delta OK; RMS=0.0004171 mm
Param #1349: delta OK; RMS=0.00041697 mm
Param #1358: delta OK; RMS=0.00085868 mm
Param #1364: delta OK; RMS=0.00087625 mm
Param #1371: delta OK; RMS=0.00040733 mm
Param #1407: delta OK; RMS=0.00040812 mm
Param #1414: delta OK; RMS=0.00088013 mm
Param #1420: delta OK; RMS=0.00086128 mm
Param #1429: delta OK; RMS=0.00041635 mm
Param #1490: delta OK; RMS=0.00041749 mm
Param #1499: delta OK; RMS=0.00089514 mm
Param #1505: delta OK; RMS=0.00081986 mm
Param #1512: delta OK; RMS=0.00039149 mm
Param #1551: delta OK; RMS=0.00039256 mm
Param #1558: delta OK; RMS=0.00084049 mm
Param #1564: delta OK; RMS=0.00088896 mm
Param #1573: delta OK; RMS=0.00041872 mm
Param #1627: delta OK; RMS=0.00041926 mm
Param #1636: delta OK; RMS=0.00090277 mm
Param #1642: delta OK; RMS=0.00081101 mm
Param #1649: delta OK; RMS=0.0003874 mm
Param #1688: delta OK; RMS=0.00038836 mm
Param #1695: delta OK; RMS=0.00081411 mm
Param #1701: delta OK; RMS=0.0009065 mm
Param #1710: delta OK; RMS=0.00041919 mm
Param #1766: delta OK; RMS=0.00041827 mm
Param #1775: delta OK; RMS=0.0008698 mm
Param #1781: delta OK; RMS=0.00088879 mm
Param #1788: delta OK; RMS=0.00040675 mm
Param #1824: delta OK; RMS=0.00040759 mm
Param #1831: delta OK; RMS=0.00087851 mm
Param #1837: delta OK; RMS=0.00086193 mm
Param #1846: delta OK; RMS=0.00041776 mm
Param #1902: delta OK; RMS=0.00041699 mm
