Param #42: delta OK; RMS=0.001176 mm
Param #51: delta OK; RMS=0.00037857 mm
Param #105: delta OK; RMS=0.00037361 mm
Param #114: delta OK; RMS=0.0011738 mm
Param #120: delta OK; RMS=0.0011946 mm
Param #127: delta OK; RMS=0.00033319 mm
Param #172: delta OK; RMS=0.00033147 mm
Param #179: delta OK; RMS=0.0011897 mm
Param #185: delta OK; RMS=0.0011719 mm
Param #194: delta OK; RMS=0.00037745 mm
Param #255: delta OK; RMS=0.00036893 mm
Param #264: delta OK; RMS=0.0011415 mm
Param #270: delta OK; RMS=0.0012074 mm
Param #277: delta OK; RMS=0.0003322 mm
Param #313: delta OK; RMS=0.000331 mm
Param #320: delta OK; RMS=0.0011886 mm
Param #326: delta OK; RMS=0.0011694 mm
Param #335: delta OK; RMS=0.00037551 mm
Param #389: delta OK; RMS=0.00037134 mm
Param #398: delta OK; RMS=0.0011675 mm
Param #404: delta OK; RMS=0.0011872 mm
Param #411: delta OK; RMS=0.00032934 mm
Param #458: delta OK; RMS=0.00033464 mm
Param #465: delta OK; RMS=0.0011981 mm
Param #471: delta OK; RMS=0.0011795 mm
Param #480: delta OK; RMS=0.00037835 mm
Param #541: delta OK; RMS=0.00037282 mm
Param #550: delta OK; RMS=0.0011497 mm
Param #556: delta OK; RMS=0.0012154 mm
Param #563: delta OK; RMS=0.00033384 mm
Param #599: delta OK; RMS=0.00033278 mm
Param #606: delta OK; RMS=0.0011972 mm
Param #612: delta OK; RMS=0.0011796 mm
Param #621: delta OK; RMS=0.00037668 mm
Param #677: delta OK; RMS=0.00037418 mm
Param #686: delta OK; RMS=0.0011723 mm
Param #692: delta OK; RMS=0.0011942 mm
Param #699: delta OK; RMS=0.00033201 mm
Param #735: delta OK; RMS=0.00033031 mm
Param #742: delta OK; RMS=0.001186 mm
Param #748: delta OK; RMS=0.0011676 mm
Param #757: delta OK; RMS=0.00037552 mm
Param #813: delta OK; RMS=0.00037024 mm
Param #822: delta OK; RMS=0.0011646 mm
Param #828: delta OK; RMS=0.0011855 mm
