Param #6: delta OK; RMS=0.000106 mm
Param #30: delta OK; RMS=0.00016335 mm
Param #39: delta OK; RMS=0.00020968 mm
Param #48: delta OK; RMS=0.00013459 mm
Param #73: delta too small; RMS=2.6861e-05 mm
Param #73: delta OK; RMS=0.00099992 mm
Param #108: delta OK; RMS=0.00013322 mm
Param #117: delta OK; RMS=0.00020927 mm
Param #124: delta OK; RMS=0.00016501 mm
Param #139: delta too small; RMS=8.7503e-05 mm
Param #139: delta OK; RMS=0.0010001 mm
Param #160: delta too small; RMS=8.7767e-05 mm
Param #160: delta OK; RMS=0.00099985 mm
Param #175: delta OK; RMS=0.00016427 mm
Param #182: delta OK; RMS=0.0002086 mm
Param #191: delta OK; RMS=0.000134 mm
Param #216: delta too small; RMS=2.6879e-05 mm
Param #216: delta OK; RMS=0.001 mm
Param #258: delta OK; RMS=0.0001321 mm
Param #267: delta OK; RMS=0.00020778 mm
Param #274: delta OK; RMS=0.00016422 mm
Param #289: delta too small; RMS=8.7657e-05 mm
Param #289: delta OK; RMS=0.001 mm
Param #301: delta too small; RMS=8.734e-05 mm
Param #301: delta OK; RMS=0.0010001 mm
Param #316: delta OK; RMS=0.00016424 mm
Param #323: delta OK; RMS=0.00020828 mm
Param #332: delta OK; RMS=0.00013368 mm
Param #357: delta too small; RMS=2.6869e-05 mm
Param #357: delta OK; RMS=0.0010002 mm
Param #392: delta OK; RMS=0.0001325 mm
Param #401: delta OK; RMS=0.00020772 mm
Param #408: delta OK; RMS=0.00016351 mm
Param #423: delta too small; RMS=8.7614e-05 mm
Param #423: delta OK; RMS=0.00099988 mm
Param #444: delta too small; RMS=8.7855e-05 mm
Param #444: delta OK; RMS=0.0010002 mm
Param #461: delta OK; RMS=0.00016576 mm
Param #468: delta OK; RMS=0.0002101 mm
Param #477: delta OK; RMS=0.00013458 mm
Param #502: delta too small; RMS=2.6725e-05 mm
Param #502: delta OK; RMS=0.00099992 mm
Param #544: delta OK; RMS=0.00013349 mm
Param #553: delta OK; RMS=0.00020962 mm
Param #560: delta OK; RMS=0.00016531 mm
Param #575: delta too small; RMS=8.79e-05 mm
Param #575: delta OK; RMS=0.001 mm
Param #587: delta too small; RMS=8.7817e-05 mm
Param #587: delta OK; RMS=0.001 mm
Param #602: delta OK; RMS=0.00016468 mm
Param #609: delta OK; RMS=0.00020925 mm
Param #618: delta OK; RMS=0.00013421 mm
