Param #42: delta OK; RMS=0.00078972 mm
Param #51: delta OK; RMS=0.00040968 mm
Param #105: delta OK; RMS=0.00042722 mm
Param #114: delta OK; RMS=0.00079445 mm
Param #120: delta OK; RMS=0.00080515 mm
Param #127: delta OK; RMS=0.00040819 mm
Param #172: delta OK; RMS=0.00042236 mm
Param #179: delta OK; RMS=0.00087818 mm
Param #185: delta OK; RMS=0.00086012 mm
Param #194: delta OK; RMS=0.00045072 mm
Param #255: delta OK; RMS=0.00043143 mm
Param #264: delta OK; RMS=0.00083753 mm
Param #270: delta OK; RMS=0.00088978 mm
Param #277: delta OK; RMS=0.0004403 mm
Param #313: delta OK; RMS=0.00038433 mm
Param #320: delta OK; RMS=0.00082349 mm
Param #326: delta OK; RMS=0.00081195 mm
Param #335: delta OK; RMS=0.00040202 mm
Param #389: delta OK; RMS=0.00038142 mm
Param #398: delta OK; RMS=0.00080527 mm
Param #404: delta OK; RMS=0.00082682 mm
Param #411: delta OK; RMS=0.00038848 mm
Param #458: delta OK; RMS=0.00040134 mm
Param #465: delta OK; RMS=0.00076727 mm
Param #471: delta OK; RMS=0.0007507 mm
Param #480: delta OK; RMS=0.00039042 mm
Param #541: delta OK; RMS=0.00041344 mm
Param #550: delta OK; RMS=0.00073237 mm
Param #556: delta OK; RMS=0.00077568 mm
Param #563: delta OK; RMS=0.00039339 mm
Param #599: delta OK; RMS=0.0004364 mm
Param #606: delta OK; RMS=0.00083675 mm
Param #612: delta OK; RMS=0.00081399 mm
Param #621: delta OK; RMS=0.00042428 mm
Param #677: delta OK; RMS=0.00043148 mm
Param #686: delta OK; RMS=0.0008185 mm
Param #692: delta OK; RMS=0.00083042 mm
Param #699: delta OK; RMS=0.00042466 mm
Param #735: delta OK; RMS=0.00038709 mm
Param #742: delta OK; RMS=0.00088623 mm
Param #748: delta OK; RMS=0.00087001 mm
Param #757: delta OK; RMS=0.00040655 mm
Param #813: delta OK; RMS=0.0003939 mm
Param #822: delta OK; RMS=0.0008685 mm
Param #828: delta OK; RMS=0.00088575 mm
Param #835: delta OK; RMS=0.0003937 mm
Param #871: delta OK; RMS=0.00041068 mm
Param #878: delta OK; RMS=0.00082896 mm
Param #884: delta OK; RMS=0.00081835 mm
Param #893: delta OK; RMS=0.000401 mm
Param #947: delta OK; RMS=0.00040878 mm
Param #956: delta OK; RMS=0.0008064 mm
Param #962: delta OK; RMS=0.00083029 mm
Param #969: delta OK; RMS=0.00041636 mm
Param #1005: delta OK; RMS=0.00041392 mm
Param #1012: delta OK; RMS=0.00075522 mm
Param #1018: delta OK; RMS=0.00073646 mm
Param #1027: delta OK; RMS=0.00042929 mm
Param #1081: delta OK; RMS=0.00041854 mm
Param #1090: delta OK; RMS=0.00073672 mm
Param #1096: delta OK; RMS=0.00075125 mm
Param #1103: delta OK; RMS=0.00041913 mm
Param #1139: delta OK; RMS=0.00038495 mm
Param #1146: delta OK; RMS=0.00083346 mm
Param #1152: delta OK; RMS=0.00081184 mm
Param #1161: delta OK; RMS=0.0003881 mm
Param #1215: delta OK; RMS=0.0003938 mm
Param #1224: delta OK; RMS=0.00082069 mm
Param #1230: delta OK; RMS=0.00083066 mm
Param #1237: delta OK; RMS=0.00038164 mm
Param #1273: delta OK; RMS=0.00042092 mm
Param #1280: delta OK; RMS=0.00091627 mm
Param #1286: delta OK; RMS=0.00089632 mm
Param #1295: delta OK; RMS=0.00042122 mm
Param #1349: delta OK; RMS=0.00043744 mm
Param #1358: delta OK; RMS=0.0008924 mm
Param #1364: delta OK; RMS=0.00091044 mm
Param #1371: delta OK; RMS=0.00042251 mm
Param #1407: delta OK; RMS=0.00040712 mm
Param #1414: delta OK; RMS=0.0008017 mm
Param #1420: delta OK; RMS=0.00079312 mm
Param #1429: delta OK; RMS=0.00043284 mm
