Param #3: delta OK; RMS=0.0019124 mm
Param #2697: delta OK; RMS=0.0013337 mm
Param #2708: delta OK; RMS=0.0012928 mm
Param #6962: delta OK; RMS=0.0020485 mm
Param #6983: delta OK; RMS=0.0010349 mm
Param #7665: delta OK; RMS=0.0014551 mm
Param #1: delta OK; RMS=0.00071664 mm
Param #2705: delta OK; RMS=0.00055148 mm
Param #6972: delta OK; RMS=0.00064146 mm
Param #301: delta OK; RMS=0.0011051 mm
Param #2403: delta OK; RMS=0.00098276 mm
Param #2994: delta OK; RMS=0.0010867 mm
Param #5096: delta OK; RMS=0.0013203 mm
Param #7283: delta OK; RMS=0.0011198 mm
Param #7377: delta OK; RMS=0.0012485 mm
Param #79: delta OK; RMS=0.0010035 mm
Param #98: delta OK; RMS=0.00094902 mm
Param #117: delta OK; RMS=0.00090791 mm
Param #136: delta OK; RMS=0.0010432 mm
Param #155: delta OK; RMS=0.00087173 mm
Param #168: delta OK; RMS=0.0010189 mm
Param #187: delta OK; RMS=0.00092054 mm
Param #206: delta OK; RMS=0.00093149 mm
Param #225: delta OK; RMS=0.0010252 mm
Param #2479: delta OK; RMS=0.00085801 mm
Param #2498: delta OK; RMS=0.0010445 mm
Param #2517: delta OK; RMS=0.00093772 mm
Param #2536: delta OK; RMS=0.00092635 mm
Param #2549: delta OK; RMS=0.0010665 mm
Param #2568: delta OK; RMS=0.00086889 mm
Param #2587: delta OK; RMS=0.001047 mm
Param #2606: delta OK; RMS=0.00092998 mm
Param #2625: delta OK; RMS=0.00091984 mm
Param #2778: delta OK; RMS=0.00091743 mm
Param #2797: delta OK; RMS=0.00090396 mm
Param #2816: delta OK; RMS=0.0011201 mm
Param #2835: delta OK; RMS=0.00077716 mm
Param #2854: delta OK; RMS=0.001135 mm
Param #2867: delta OK; RMS=0.00088962 mm
Param #2886: delta OK; RMS=0.00093761 mm
Param #2905: delta OK; RMS=0.0010876 mm
Param #2924: delta OK; RMS=0.00078704 mm
Param #5344: delta OK; RMS=0.00092897 mm
Param #5357: delta OK; RMS=0.00098572 mm
Param #5376: delta OK; RMS=0.00098242 mm
Param #5395: delta OK; RMS=0.00094448 mm
Param #5414: delta OK; RMS=0.00098489 mm
Param #5433: delta OK; RMS=0.00092312 mm
Param #6797: delta OK; RMS=0.00090916 mm
Param #6808: delta OK; RMS=0.0010783 mm
Param #6827: delta OK; RMS=0.00089877 mm
Param #6846: delta OK; RMS=0.0010696 mm
Param #6865: delta OK; RMS=0.00098532 mm
Param #6884: delta OK; RMS=0.00092838 mm
Param #7073: delta OK; RMS=0.0011356 mm
Param #7092: delta OK; RMS=0.00083414 mm
Param #7111: delta OK; RMS=0.0010983 mm
Param #7130: delta OK; RMS=0.00097737 mm
Param #7149: delta OK; RMS=0.00088413 mm
Param #7162: delta OK; RMS=0.0011236 mm
Param #7181: delta OK; RMS=0.00082392 mm
Param #7200: delta OK; RMS=0.0011216 mm
Param #7219: delta OK; RMS=0.0009431 mm
Param #7439: delta OK; RMS=0.00092967 mm
Param #7458: delta OK; RMS=0.0010675 mm
Param #7477: delta OK; RMS=0.00083835 mm
Param #7496: delta OK; RMS=0.0010957 mm
Param #7509: delta OK; RMS=0.00092107 mm
Param #7528: delta OK; RMS=0.00095742 mm
Param #7547: delta OK; RMS=0.0010609 mm
Param #7566: delta OK; RMS=0.00083516 mm
Param #7585: delta OK; RMS=0.0011118 mm
Param #87: delta OK; RMS=0.002771 mm
Param #106: delta OK; RMS=0.0014273 mm
Param #125: delta OK; RMS=0.0024391 mm
Param #144: delta OK; RMS=0.0020537 mm
Param #161: delta OK; RMS=0.001679 mm
Param #180: delta OK; RMS=0.0026531 mm
Param #199: delta OK; RMS=0.0014342 mm
Param #218: delta OK; RMS=0.0024669 mm
Param #237: delta OK; RMS=0.001981 mm
Param #2468: delta OK; RMS=0.0022261 mm
Param #2487: delta OK; RMS=0.0015545 mm
Param #2506: delta OK; RMS=0.0028809 mm
Param #2525: delta OK; RMS=0.0013776 mm
Param #2544: delta OK; RMS=0.0025726 mm
Param #2561: delta OK; RMS=0.002075 mm
Param #2580: delta OK; RMS=0.0016772 mm
Param #2599: delta OK; RMS=0.0028169 mm
Param #2618: delta OK; RMS=0.0013464 mm
Param #2786: delta OK; RMS=0.0013007 mm
Param #2805: delta OK; RMS=0.0028279 mm
Param #2824: delta OK; RMS=0.0017241 mm
Param #2843: delta OK; RMS=0.0019926 mm
Param #2860: delta OK; RMS=0.0026328 mm
Param #2879: delta OK; RMS=0.001344 mm
Param #2898: delta OK; RMS=0.0028471 mm
Param #2917: delta OK; RMS=0.0015919 mm
Param #2936: delta OK; RMS=0.002142 mm
Param #5352: delta OK; RMS=0.0024713 mm
Param #5369: delta OK; RMS=0.0019215 mm
Param #5388: delta OK; RMS=0.0017915 mm
Param #5407: delta OK; RMS=0.0025103 mm
Param #5426: delta OK; RMS=0.0014312 mm
Param #6803: delta OK; RMS=0.0014905 mm
Param #6820: delta OK; RMS=0.0025495 mm
Param #6839: delta OK; RMS=0.0017219 mm
Param #6858: delta OK; RMS=0.0020317 mm
Param #6877: delta OK; RMS=0.0023831 mm
Param #7081: delta OK; RMS=0.001793 mm
Param #7100: delta OK; RMS=0.0019695 mm
Param #7119: delta OK; RMS=0.0028179 mm
Param #7138: delta OK; RMS=0.0012333 mm
Param #7155: delta OK; RMS=0.0030265 mm
Param #7174: delta OK; RMS=0.0016485 mm
Param #7193: delta OK; RMS=0.0021316 mm
Param #7212: delta OK; RMS=0.0027146 mm
Param #7231: delta OK; RMS=0.0012723 mm
Param #7428: delta OK; RMS=0.0013872 mm
Param #7447: delta OK; RMS=0.002915 mm
Param #7466: delta OK; RMS=0.0014979 mm
Param #7485: delta OK; RMS=0.0023486 mm
Param #7504: delta OK; RMS=0.002377 mm
Param #7521: delta OK; RMS=0.0014512 mm
Param #7540: delta OK; RMS=0.0029827 mm
Param #7559: delta OK; RMS=0.0013869 mm
Param #7578: delta OK; RMS=0.0025319 mm
Param #289: delta OK; RMS=0.0018697 mm
Param #2415: delta OK; RMS=0.0030547 mm
Param #2988: delta OK; RMS=0.0030642 mm
Param #7279: delta too big; RMS=0.003443 mm
Param #7279: delta OK; RMS=0.0010055 mm
Param #7379: delta OK; RMS=0.0026385 mm
Param #279: delta OK; RMS=0.00083656 mm
Param #2978: delta OK; RMS=0.00096288 mm
Param #7269: delta OK; RMS=0.00092813 mm
Param #7389: delta OK; RMS=0.00077896 mm
Param #275: delta OK; RMS=0.0022695 mm
Param #2429: delta OK; RMS=0.0018093 mm
Param #2974: delta OK; RMS=0.0017661 mm
Param #7267: delta OK; RMS=0.0012365 mm
Param #7391: delta OK; RMS=0.0016628 mm
Param #263: delta OK; RMS=0.0010812 mm
Param #2441: delta OK; RMS=0.0010235 mm
Param #2962: delta OK; RMS=0.0010403 mm
Param #7255: delta OK; RMS=0.0011106 mm
Param #7403: delta OK; RMS=0.0011157 mm
Param #256: delta OK; RMS=0.0017926 mm
Param #2449: delta OK; RMS=0.0024043 mm
Param #2955: delta OK; RMS=0.002441 mm
Param #7250: delta OK; RMS=0.0030744 mm
Param #7409: delta OK; RMS=0.0025201 mm
Param #244: delta OK; RMS=0.00081986 mm
Param #2460: delta OK; RMS=0.0010131 mm
Param #2943: delta OK; RMS=0.0010591 mm
Param #7238: delta OK; RMS=0.00086014 mm
Param #7420: delta OK; RMS=0.00086906 mm
Param #29: delta OK; RMS=0.0014439 mm
Param #2673: delta OK; RMS=0.0019591 mm
Param #2730: delta OK; RMS=0.0020251 mm
Param #6936: delta OK; RMS=0.0011741 mm
Param #7017: delta OK; RMS=0.0025261 mm
Param #7633: delta OK; RMS=0.002077 mm
Param #41: delta OK; RMS=0.0011695 mm
Param #2661: delta OK; RMS=0.0011615 mm
Param #2742: delta OK; RMS=0.0010407 mm
Param #5471: delta OK; RMS=0.0013329 mm
Param #6924: delta OK; RMS=0.00098461 mm
Param #7029: delta OK; RMS=0.0012851 mm
Param #7621: delta OK; RMS=0.001099 mm
Param #49: delta OK; RMS=0.0023198 mm
Param #2656: delta OK; RMS=0.0028223 mm
Param #2748: delta OK; RMS=0.0027412 mm
Param #5464: delta OK; RMS=0.0024698 mm
Param #6915: delta OK; RMS=0.0030586 mm
Param #7037: delta OK; RMS=0.0015637 mm
Param #7616: delta OK; RMS=0.0016048 mm
Param #60: delta OK; RMS=0.00078213 mm
Param #2644: delta OK; RMS=0.0011062 mm
Param #2759: delta OK; RMS=0.001133 mm
Param #5452: delta OK; RMS=0.00099088 mm
Param #6903: delta OK; RMS=0.00096672 mm
Param #7050: delta OK; RMS=0.00085964 mm
Param #7604: delta OK; RMS=0.00081228 mm
Param #68: delta OK; RMS=0.0014274 mm
Param #2637: delta OK; RMS=0.0024452 mm
Param #2767: delta OK; RMS=0.0025066 mm
Param #5445: delta OK; RMS=0.0022857 mm
Param #6896: delta OK; RMS=0.0013664 mm
Param #7062: delta OK; RMS=0.002713 mm
Param #7597: delta OK; RMS=0.0020613 mm
Param #11: delta OK; RMS=0.0012016 mm
Param #2687: delta OK; RMS=0.001222 mm
Param #2716: delta OK; RMS=0.0012724 mm
Param #6952: delta OK; RMS=0.001482 mm
Param #6991: delta OK; RMS=0.00091381 mm
Param #7655: delta OK; RMS=0.0010944 mm
Param #17: delta OK; RMS=0.0017862 mm
Param #2685: delta OK; RMS=0.0032732 mm
Param #2718: delta OK; RMS=0.0032484 mm
Param #6948: delta OK; RMS=0.0025503 mm
Param #7001: delta OK; RMS=0.0020575 mm
Param #7649: delta OK; RMS=0.0015524 mm
Param #27: delta OK; RMS=0.00076723 mm
Param #2675: delta OK; RMS=0.0012166 mm
Param #2728: delta OK; RMS=0.0012258 mm
Param #5485: delta OK; RMS=0.0010996 mm
Param #6938: delta OK; RMS=0.00088666 mm
Param #7011: delta OK; RMS=0.0010728 mm
Param #7639: delta OK; RMS=0.0008396 mm
Param #2421: delta OK; RMS=0.001027 mm
Param #1553: delta OK; RMS=0.00097344 mm
Param #510: delta OK; RMS=0.001979 mm
Param #926: delta OK; RMS=0.001693 mm
Param #1344: delta OK; RMS=0.0015301 mm
Param #1762: delta OK; RMS=0.0025456 mm
Param #2180: delta OK; RMS=0.0023811 mm
Param #2397: delta OK; RMS=0.0010016 mm
Param #717: delta OK; RMS=0.00080478 mm
Param #1135: delta OK; RMS=0.0010478 mm
Param #1971: delta OK; RMS=0.0013719 mm
Param #2389: delta OK; RMS=0.00074598 mm
Param #5114: delta OK; RMS=0.00050083 mm
Param #4246: delta OK; RMS=0.00095921 mm
Param #3203: delta OK; RMS=0.00098319 mm
Param #3619: delta OK; RMS=0.0024489 mm
Param #4037: delta OK; RMS=0.0027317 mm
Param #4455: delta OK; RMS=0.0013548 mm
Param #4873: delta OK; RMS=0.0017876 mm
Param #5090: delta OK; RMS=0.0025625 mm
Param #3410: delta OK; RMS=0.00068227 mm
Param #3828: delta OK; RMS=0.0014528 mm
Param #4664: delta OK; RMS=0.00095429 mm
Param #5082: delta OK; RMS=0.0010002 mm
Param #6455: delta OK; RMS=0.00097952 mm
Param #6441: delta OK; RMS=0.0017464 mm
Param #6437: delta OK; RMS=0.0011717 mm
Param #6425: delta OK; RMS=0.0015974 mm
Param #6413: delta OK; RMS=0.00098036 mm
Param #7293: delta OK; RMS=0.0014786 mm
Param #7367: delta OK; RMS=0.0020842 mm
Param #7305: delta OK; RMS=0.0008517 mm
Param #7355: delta OK; RMS=0.00080894 mm
Param #7311: delta OK; RMS=0.0017073 mm
Param #7349: delta OK; RMS=0.0012743 mm
Param #7317: delta OK; RMS=0.0011405 mm
Param #7343: delta OK; RMS=0.00089456 mm
Param #7323: delta OK; RMS=0.0031189 mm
Param #7337: delta OK; RMS=0.0025468 mm
Param #7329: delta OK; RMS=0.001647 mm
Param #6373: delta OK; RMS=0.0012805 mm
Param #6377: delta too big; RMS=0.003835 mm
Param #6377: delta OK; RMS=0.0010062 mm
Param #6383: delta OK; RMS=0.0012675 mm
Param #6391: delta OK; RMS=0.001561 mm
Param #6401: delta OK; RMS=0.0011813 mm
Param #6407: delta OK; RMS=0.0014464 mm
Param #5495: delta OK; RMS=0.0024366 mm
Param #5505: delta OK; RMS=0.0018096 mm
Param #5509: delta OK; RMS=0.0027238 mm
Param #5521: delta OK; RMS=0.0016086 mm
Param #5527: delta OK; RMS=0.00089252 mm
Param #5551: delta OK; RMS=0.0011253 mm
Param #5557: delta OK; RMS=0.0021045 mm
Param #5563: delta too big; RMS=0.0058422 mm
Param #5563: delta OK; RMS=0.0010108 mm
Param #5571: delta OK; RMS=0.00056806 mm
Param #5583: delta OK; RMS=0.0021531 mm
Param #5589: delta OK; RMS=0.0017429 mm
Param #5593: delta OK; RMS=0.0016532 mm
Param #5599: delta OK; RMS=0.0020642 mm
Param #5613: delta OK; RMS=0.0019398 mm
Param #5621: delta OK; RMS=0.0017271 mm
Param #5627: delta OK; RMS=0.0012219 mm
Param #5655: delta OK; RMS=0.000973 mm
Param #5661: delta OK; RMS=0.0012185 mm
Param #5669: delta OK; RMS=0.0011911 mm
Param #5683: delta OK; RMS=0.0013848 mm
Param #5689: delta OK; RMS=0.0022335 mm
Param #5693: delta OK; RMS=0.0024104 mm
Param #5699: delta OK; RMS=0.0015924 mm
Param #5713: delta OK; RMS=0.0013622 mm
Param #5721: delta OK; RMS=0.0027331 mm
Param #5727: delta OK; RMS=0.00039001 mm
Param #5741: delta OK; RMS=0.00046739 mm
Param #5747: delta too big; RMS=0.0035455 mm
Param #5747: delta OK; RMS=0.0010051 mm
Param #5755: delta OK; RMS=0.0019661 mm
Param #5769: delta OK; RMS=0.0021495 mm
Param #5775: delta OK; RMS=0.0017045 mm
Param #5779: delta OK; RMS=0.001652 mm
Param #5785: delta OK; RMS=0.0017441 mm
Param #5799: delta OK; RMS=0.0022179 mm
Param #5807: delta too big; RMS=0.0052899 mm
Param #5807: delta OK; RMS=0.0010115 mm
Param #5813: delta OK; RMS=0.00036203 mm
Param #5841: delta OK; RMS=0.00052752 mm
Param #5847: delta too big; RMS=0.0070273 mm
Param #5847: delta OK; RMS=0.0010131 mm
Param #5855: delta OK; RMS=0.0031982 mm
Param #5869: delta OK; RMS=0.0024744 mm
Param #5875: delta OK; RMS=0.0022042 mm
Param #5879: delta OK; RMS=0.0023549 mm
Param #5885: delta OK; RMS=0.0027258 mm
Param #5899: delta OK; RMS=0.0020531 mm
Param #5907: delta OK; RMS=0.0021746 mm
Param #5913: delta OK; RMS=0.00027511 mm
Param #5927: delta OK; RMS=0.00028583 mm
Param #5933: delta OK; RMS=0.002222 mm
Param #5941: delta OK; RMS=0.0016428 mm
Param #5955: delta OK; RMS=0.0021803 mm
Param #5961: delta OK; RMS=0.0020134 mm
Param #5965: delta OK; RMS=0.0018124 mm
Param #5971: delta OK; RMS=0.0020367 mm
Param #5985: delta OK; RMS=0.0019196 mm
Param #5993: delta OK; RMS=0.001964 mm
Param #5999: delta OK; RMS=0.0014882 mm
Param #6027: delta OK; RMS=0.001404 mm
Param #6033: delta OK; RMS=0.0017663 mm
Param #6041: delta OK; RMS=0.0013203 mm
Param #6055: delta OK; RMS=0.0013695 mm
Param #6061: delta OK; RMS=0.0018009 mm
Param #6065: delta OK; RMS=0.0020436 mm
Param #6071: delta OK; RMS=0.0016141 mm
Param #6085: delta OK; RMS=0.0016933 mm
Param #6093: delta too big; RMS=0.0043056 mm
Param #6093: delta OK; RMS=0.0010098 mm
Param #6099: delta OK; RMS=0.00040244 mm
Param #6113: delta OK; RMS=0.0005252 mm
Param #6119: delta too big; RMS=0.0052967 mm
