Param #42: delta OK; RMS=0.00059001 mm
Param #51: delta OK; RMS=0.0004145 mm
Param #105: delta OK; RMS=0.00039826 mm
Param #114: delta OK; RMS=0.00058057 mm
Param #120: delta OK; RMS=0.00059288 mm
Param #127: delta OK; RMS=0.00041398 mm
Param #172: delta OK; RMS=0.00039807 mm
Param #179: delta OK; RMS=0.00076143 mm
Param #185: delta OK; RMS=0.00073195 mm
Param #194: delta OK; RMS=0.00039206 mm
Param #255: delta OK; RMS=0.00040633 mm
Param #264: delta OK; RMS=0.00073342 mm
Param #270: delta OK; RMS=0.00076374 mm
Param #277: delta OK; RMS=0.00039052 mm
Param #313: delta OK; RMS=0.00043164 mm
Param #320: delta OK; RMS=0.00087429 mm
Param #326: delta OK; RMS=0.00085815 mm
Param #335: delta OK; RMS=0.00042724 mm
Param #389: delta OK; RMS=0.00044134 mm
Param #398: delta OK; RMS=0.00085468 mm
Param #404: delta OK; RMS=0.00087467 mm
Param #411: delta OK; RMS=0.00042468 mm
Param #458: delta OK; RMS=0.00042251 mm
Param #465: delta OK; RMS=0.00071545 mm
Param #471: delta OK; RMS=0.00071302 mm
Param #480: delta OK; RMS=0.00043922 mm
Param #541: delta OK; RMS=0.00041127 mm
Param #550: delta OK; RMS=0.00067674 mm
Param #556: delta OK; RMS=0.00073366 mm
Param #563: delta OK; RMS=0.00043476 mm
Param #599: delta OK; RMS=0.00038748 mm
Param #606: delta OK; RMS=0.00059151 mm
Param #612: delta OK; RMS=0.00057751 mm
Param #621: delta OK; RMS=0.000393 mm
Param #677: delta OK; RMS=0.00038275 mm
Param #686: delta OK; RMS=0.00057496 mm
Param #692: delta OK; RMS=0.00059004 mm
Param #699: delta OK; RMS=0.00038921 mm
Param #735: delta OK; RMS=0.00041594 mm
Param #742: delta OK; RMS=0.00074268 mm
Param #748: delta OK; RMS=0.00071158 mm
Param #757: delta OK; RMS=0.00039513 mm
Param #813: delta OK; RMS=0.00042731 mm
Param #822: delta OK; RMS=0.00073168 mm
Param #828: delta OK; RMS=0.0007334 mm
Param #835: delta OK; RMS=0.00040104 mm
Param #871: delta OK; RMS=0.00044181 mm
Param #878: delta OK; RMS=0.00087876 mm
Param #884: delta OK; RMS=0.0008603 mm
Param #893: delta OK; RMS=0.00044611 mm
Param #947: delta OK; RMS=0.00044359 mm
Param #956: delta OK; RMS=0.00085956 mm
Param #962: delta OK; RMS=0.0008782 mm
Param #969: delta OK; RMS=0.00044272 mm
Param #1005: delta OK; RMS=0.00039642 mm
Param #1012: delta OK; RMS=0.00073013 mm
Param #1018: delta OK; RMS=0.00072911 mm
Param #1027: delta OK; RMS=0.00042348 mm
Param #1081: delta OK; RMS=0.00039054 mm
Param #1090: delta OK; RMS=0.00070749 mm
Param #1096: delta OK; RMS=0.00073886 mm
Param #1103: delta OK; RMS=0.00041108 mm
Param #1139: delta OK; RMS=0.00039246 mm
Param #1146: delta OK; RMS=0.00058835 mm
Param #1152: delta OK; RMS=0.00057342 mm
Param #1161: delta OK; RMS=0.00038193 mm
Param #1215: delta OK; RMS=0.00039559 mm
Param #1224: delta OK; RMS=0.00057329 mm
Param #1230: delta OK; RMS=0.00058759 mm
Param #1237: delta OK; RMS=0.00038671 mm
Param #1273: delta OK; RMS=0.00043751 mm
Param #1280: delta OK; RMS=0.00072689 mm
Param #1286: delta OK; RMS=0.00069582 mm
Param #1295: delta OK; RMS=0.00041775 mm
Param #1349: delta OK; RMS=0.00044099 mm
Param #1358: delta OK; RMS=0.00071542 mm
Param #1364: delta OK; RMS=0.00071813 mm
Param #1371: delta OK; RMS=0.00042674 mm
Param #1407: delta OK; RMS=0.000421 mm
Param #1414: delta OK; RMS=0.00087706 mm
Param #1420: delta OK; RMS=0.00085663 mm
Param #1429: delta OK; RMS=0.00043931 mm
Param #1490: delta OK; RMS=0.00042161 mm
Param #1499: delta OK; RMS=0.00089143 mm
Param #1505: delta OK; RMS=0.0008164 mm
Param #1512: delta OK; RMS=0.00041096 mm
Param #1551: delta OK; RMS=0.00037186 mm
Param #1558: delta OK; RMS=0.0007081 mm
Param #1564: delta OK; RMS=0.00076194 mm
Param #1573: delta OK; RMS=0.00040417 mm
Param #1627: delta OK; RMS=0.00039215 mm
Param #1636: delta OK; RMS=0.00075365 mm
Param #1642: delta OK; RMS=0.00069104 mm
Param #1649: delta OK; RMS=0.00037357 mm
Param #1688: delta OK; RMS=0.00039707 mm
Param #1695: delta OK; RMS=0.00054514 mm
Param #1701: delta OK; RMS=0.00060627 mm
Param #1710: delta OK; RMS=0.00040395 mm
Param #1766: delta OK; RMS=0.00042032 mm
Param #1775: delta OK; RMS=0.00058438 mm
Param #1781: delta OK; RMS=0.0006021 mm
