Param #42: delta OK; RMS=0.00062195 mm
Param #51: delta OK; RMS=0.00041618 mm
Param #105: delta OK; RMS=0.00039751 mm
Param #114: delta OK; RMS=0.00061212 mm
Param #120: delta OK; RMS=0.00062186 mm
Param #127: delta OK; RMS=0.00042229 mm
Param #172: delta OK; RMS=0.00039381 mm
Param #179: delta OK; RMS=0.00081098 mm
Param #185: delta OK; RMS=0.0007825 mm
Param #194: delta OK; RMS=0.00039169 mm
Param #255: delta OK; RMS=0.00040481 mm
Param #264: delta OK; RMS=0.00078089 mm
Param #270: delta OK; RMS=0.0008149 mm
Param #277: delta OK; RMS=0.00038655 mm
Param #313: delta OK; RMS=0.00043394 mm
Param #320: delta OK; RMS=0.00087607 mm
Param #326: delta OK; RMS=0.00086315 mm
Param #335: delta OK; RMS=0.00042769 mm
Param #389: delta OK; RMS=0.00044412 mm
Param #398: delta OK; RMS=0.00085502 mm
Param #404: delta OK; RMS=0.0008783 mm
Param #411: delta OK; RMS=0.00042576 mm
Param #458: delta OK; RMS=0.00042916 mm
Param #465: delta OK; RMS=0.00069757 mm
Param #471: delta OK; RMS=0.00069408 mm
Param #480: delta OK; RMS=0.00044394 mm
Param #541: delta OK; RMS=0.00041618 mm
Param #550: delta OK; RMS=0.00065982 mm
Param #556: delta OK; RMS=0.00071513 mm
Param #563: delta OK; RMS=0.00044106 mm
Param #599: delta OK; RMS=0.00038763 mm
Param #606: delta OK; RMS=0.00062216 mm
Param #612: delta OK; RMS=0.00060381 mm
Param #621: delta OK; RMS=0.00039548 mm
Param #677: delta OK; RMS=0.00038414 mm
Param #686: delta OK; RMS=0.00060674 mm
Param #692: delta OK; RMS=0.00061779 mm
Param #699: delta OK; RMS=0.00038986 mm
Param #735: delta OK; RMS=0.00041553 mm
Param #742: delta OK; RMS=0.00079165 mm
Param #748: delta OK; RMS=0.00076181 mm
Param #757: delta OK; RMS=0.00039641 mm
Param #813: delta OK; RMS=0.00042962 mm
Param #822: delta OK; RMS=0.00077967 mm
Param #828: delta OK; RMS=0.00078332 mm
Param #835: delta OK; RMS=0.00040014 mm
Param #871: delta OK; RMS=0.00044481 mm
Param #878: delta OK; RMS=0.00087788 mm
Param #884: delta OK; RMS=0.00086303 mm
Param #893: delta OK; RMS=0.00044926 mm
