Param #42: delta OK; RMS=0.00041123 mm
Param #51: delta OK; RMS=0.00044654 mm
Param #105: delta OK; RMS=0.0003879 mm
Param #114: delta OK; RMS=0.00040523 mm
Param #120: delta OK; RMS=0.00040819 mm
Param #127: delta OK; RMS=0.00043746 mm
Param #172: delta OK; RMS=0.00040659 mm
Param #179: delta OK; RMS=0.00067236 mm
Param #185: delta OK; RMS=0.00064258 mm
Param #194: delta OK; RMS=0.00037577 mm
Param #255: delta OK; RMS=0.0004221 mm
Param #264: delta OK; RMS=0.00064719 mm
Param #270: delta OK; RMS=0.00067438 mm
Param #277: delta OK; RMS=0.00038556 mm
Param #313: delta OK; RMS=0.00051702 mm
Param #320: delta OK; RMS=0.00070176 mm
Param #326: delta OK; RMS=0.0006924 mm
Param #335: delta OK; RMS=0.00048093 mm
Param #389: delta OK; RMS=0.00051362 mm
Param #398: delta OK; RMS=0.00067794 mm
Param #404: delta OK; RMS=0.00070816 mm
Param #411: delta OK; RMS=0.00050206 mm
Param #458: delta OK; RMS=0.00046143 mm
Param #465: delta OK; RMS=0.0004504 mm
Param #471: delta OK; RMS=0.000445 mm
Param #480: delta OK; RMS=0.00049429 mm
Param #541: delta OK; RMS=0.00042308 mm
Param #550: delta OK; RMS=0.00041352 mm
Param #556: delta OK; RMS=0.00046095 mm
Param #563: delta OK; RMS=0.00049071 mm
Param #599: delta OK; RMS=0.00037617 mm
Param #606: delta OK; RMS=0.00039275 mm
Param #612: delta OK; RMS=0.00037372 mm
Param #621: delta OK; RMS=0.00037554 mm
Param #677: delta OK; RMS=0.00037212 mm
Param #686: delta OK; RMS=0.00038191 mm
Param #692: delta OK; RMS=0.00038989 mm
Param #699: delta OK; RMS=0.00037491 mm
Param #735: delta OK; RMS=0.00048304 mm
Param #742: delta OK; RMS=0.00065327 mm
Param #748: delta OK; RMS=0.0006172 mm
Param #757: delta OK; RMS=0.00042148 mm
Param #813: delta OK; RMS=0.00049598 mm
Param #822: delta OK; RMS=0.00064256 mm
Param #828: delta OK; RMS=0.00064245 mm
Param #835: delta OK; RMS=0.00045055 mm
Param #871: delta OK; RMS=0.00051045 mm
Param #878: delta OK; RMS=0.00071595 mm
Param #884: delta OK; RMS=0.00070522 mm
