Param #3: delta OK; RMS=0.0025304 mm
Param #2697: delta OK; RMS=0.0021364 mm
Param #2708: delta OK; RMS=0.0021238 mm
Param #6962: delta OK; RMS=0.0026429 mm
Param #6983: delta OK; RMS=0.0019669 mm
Param #7665: delta OK; RMS=0.0022223 mm
Param #1: delta OK; RMS=0.0018289 mm
Param #2705: delta OK; RMS=0.0017722 mm
Param #6972: delta OK; RMS=0.0018049 mm
Param #301: delta OK; RMS=0.0020107 mm
Param #2403: delta OK; RMS=0.0019466 mm
Param #2994: delta OK; RMS=0.002006 mm
Param #5096: delta OK; RMS=0.0021399 mm
Param #7283: delta OK; RMS=0.0020209 mm
Param #7377: delta OK; RMS=0.0020971 mm
Param #79: delta OK; RMS=0.0019546 mm
Param #98: delta OK; RMS=0.0019355 mm
Param #117: delta OK; RMS=0.0019086 mm
Param #136: delta OK; RMS=0.0019835 mm
Param #155: delta OK; RMS=0.0018949 mm
Param #168: delta OK; RMS=0.0019651 mm
Param #187: delta OK; RMS=0.0019197 mm
Param #206: delta OK; RMS=0.0019219 mm
Param #225: delta OK; RMS=0.0019727 mm
Param #2479: delta OK; RMS=0.0018901 mm
Param #2498: delta OK; RMS=0.0019793 mm
Param #2517: delta OK; RMS=0.001931 mm
Param #2536: delta OK; RMS=0.0019185 mm
Param #2549: delta OK; RMS=0.0019932 mm
Param #2568: delta OK; RMS=0.0018933 mm
Param #2587: delta OK; RMS=0.0019811 mm
Param #2606: delta OK; RMS=0.0019272 mm
Param #2625: delta OK; RMS=0.0019158 mm
Param #2778: delta OK; RMS=0.0019192 mm
Param #2797: delta OK; RMS=0.0019068 mm
Param #2816: delta OK; RMS=0.0020257 mm
Param #2835: delta OK; RMS=0.0018525 mm
Param #2854: delta OK; RMS=0.0020333 mm
Param #2867: delta OK; RMS=0.0019048 mm
Param #2886: delta OK; RMS=0.0019241 mm
Param #2905: delta OK; RMS=0.0020057 mm
Param #2924: delta OK; RMS=0.0018572 mm
Param #5344: delta OK; RMS=0.0019212 mm
Param #5357: delta OK; RMS=0.0019544 mm
Param #5376: delta OK; RMS=0.0019499 mm
Param #5395: delta OK; RMS=0.0019301 mm
Param #5414: delta OK; RMS=0.0019533 mm
Param #5433: delta OK; RMS=0.0019186 mm
Param #6797: delta OK; RMS=0.001914 mm
Param #6808: delta OK; RMS=0.0019955 mm
Param #6827: delta OK; RMS=0.0019109 mm
Param #6846: delta OK; RMS=0.0019885 mm
Param #6865: delta OK; RMS=0.0019492 mm
Param #6884: delta OK; RMS=0.0019232 mm
Param #7073: delta OK; RMS=0.0020323 mm
Param #7092: delta OK; RMS=0.0018784 mm
Param #7111: delta OK; RMS=0.0020071 mm
Param #7130: delta OK; RMS=0.0019493 mm
Param #7149: delta OK; RMS=0.0018976 mm
Param #7162: delta OK; RMS=0.0020265 mm
Param #7181: delta OK; RMS=0.0018729 mm
Param #7200: delta OK; RMS=0.002021 mm
Param #7219: delta OK; RMS=0.0019302 mm
Param #7439: delta OK; RMS=0.0019197 mm
Param #7458: delta OK; RMS=0.0019986 mm
Param #7477: delta OK; RMS=0.0018783 mm
Param #7496: delta OK; RMS=0.0020099 mm
Param #7509: delta OK; RMS=0.0019175 mm
Param #7528: delta OK; RMS=0.0019347 mm
Param #7547: delta OK; RMS=0.0019919 mm
Param #7566: delta OK; RMS=0.0018789 mm
Param #7585: delta OK; RMS=0.0020169 mm
Param #87: delta OK; RMS=0.0032257 mm
Param #106: delta OK; RMS=0.0021962 mm
Param #125: delta OK; RMS=0.0029558 mm
Param #144: delta OK; RMS=0.0026336 mm
Param #161: delta OK; RMS=0.0023755 mm
Param #180: delta OK; RMS=0.0031254 mm
Param #199: delta OK; RMS=0.0022024 mm
Param #218: delta OK; RMS=0.0029791 mm
Param #237: delta OK; RMS=0.0025769 mm
Param #2468: delta OK; RMS=0.0027739 mm
Param #2487: delta OK; RMS=0.0022895 mm
Param #2506: delta OK; RMS=0.0033253 mm
Param #2525: delta OK; RMS=0.0021597 mm
Param #2544: delta OK; RMS=0.0030741 mm
Param #2561: delta OK; RMS=0.0026535 mm
Param #2580: delta OK; RMS=0.0023761 mm
Param #2599: delta OK; RMS=0.0032668 mm
Param #2618: delta OK; RMS=0.0021423 mm
Param #2786: delta OK; RMS=0.0021215 mm
Param #2805: delta OK; RMS=0.0032819 mm
Param #2824: delta OK; RMS=0.0023915 mm
Param #2843: delta OK; RMS=0.0026064 mm
Param #2860: delta OK; RMS=0.0031019 mm
Param #2879: delta OK; RMS=0.0021514 mm
Param #2898: delta OK; RMS=0.0032951 mm
Param #2917: delta OK; RMS=0.002302 mm
Param #2936: delta OK; RMS=0.0027213 mm
Param #5352: delta OK; RMS=0.0029876 mm
Param #5369: delta OK; RMS=0.0025364 mm
Param #5388: delta OK; RMS=0.0024618 mm
Param #5407: delta OK; RMS=0.0030092 mm
Param #5426: delta OK; RMS=0.0022064 mm
Param #6803: delta OK; RMS=0.002248 mm
Param #6820: delta OK; RMS=0.0030414 mm
Param #6839: delta OK; RMS=0.0023956 mm
Param #6858: delta OK; RMS=0.0026376 mm
Param #6877: delta OK; RMS=0.0029028 mm
Param #7081: delta OK; RMS=0.0024465 mm
Param #7100: delta OK; RMS=0.0025915 mm
Param #7119: delta OK; RMS=0.0032685 mm
Param #7138: delta OK; RMS=0.0020814 mm
Param #7155: delta too big; RMS=0.0034536 mm
Param #7155: delta OK; RMS=0.0018983 mm
Param #7174: delta OK; RMS=0.0023449 mm
Param #7193: delta OK; RMS=0.0027135 mm
Param #7212: delta OK; RMS=0.0031794 mm
Param #7231: delta OK; RMS=0.002106 mm
Param #7428: delta OK; RMS=0.0021813 mm
Param #7447: delta too big; RMS=0.0033478 mm
Param #7447: delta OK; RMS=0.001892 mm
Param #7466: delta OK; RMS=0.0022439 mm
Param #7485: delta OK; RMS=0.00288 mm
Param #7504: delta OK; RMS=0.0029007 mm
