Param #3: delta OK; RMS=0.0015695 mm
Param #2697: delta OK; RMS=0.0015631 mm
Param #2708: delta OK; RMS=0.0015553 mm
Param #6962: delta OK; RMS=0.001579 mm
Param #6983: delta OK; RMS=0.0015313 mm
Param #7665: delta OK; RMS=0.0015531 mm
Param #1: delta OK; RMS=0.00071045 mm
Param #2705: delta OK; RMS=0.00071579 mm
Param #6972: delta OK; RMS=0.00070559 mm
Param #301: delta OK; RMS=0.0011923 mm
Param #2403: delta OK; RMS=0.0012288 mm
Param #2994: delta OK; RMS=0.0011849 mm
Param #5096: delta OK; RMS=0.0015306 mm
Param #7283: delta OK; RMS=0.0012024 mm
Param #7377: delta OK; RMS=0.0012311 mm
Param #79: delta OK; RMS=0.0011154 mm
Param #98: delta OK; RMS=0.0010669 mm
Param #117: delta OK; RMS=0.0010974 mm
Param #136: delta OK; RMS=0.0010965 mm
Param #155: delta OK; RMS=0.0010673 mm
Param #168: delta OK; RMS=0.0011153 mm
Param #187: delta OK; RMS=0.001067 mm
Param #206: delta OK; RMS=0.0010976 mm
Param #225: delta OK; RMS=0.0010963 mm
Param #2479: delta OK; RMS=0.0010594 mm
Param #2498: delta OK; RMS=0.0011218 mm
Param #2517: delta OK; RMS=0.0010648 mm
Param #2536: delta OK; RMS=0.0010945 mm
Param #2549: delta OK; RMS=0.0011029 mm
Param #2568: delta OK; RMS=0.0010599 mm
Param #2587: delta OK; RMS=0.0011217 mm
Param #2606: delta OK; RMS=0.0010648 mm
Param #2625: delta OK; RMS=0.001095 mm
Param #2778: delta OK; RMS=0.0011061 mm
Param #2797: delta OK; RMS=0.0010777 mm
Param #2816: delta OK; RMS=0.0010892 mm
Param #2835: delta OK; RMS=0.0010991 mm
Param #2854: delta OK; RMS=0.0010716 mm
Param #2867: delta OK; RMS=0.001106 mm
Param #2886: delta OK; RMS=0.0010778 mm
Param #2905: delta OK; RMS=0.0010894 mm
Param #2924: delta OK; RMS=0.0010988 mm
Param #5344: delta OK; RMS=0.0010867 mm
Param #5357: delta OK; RMS=0.001087 mm
Param #5376: delta OK; RMS=0.0010939 mm
Param #5395: delta OK; RMS=0.0010834 mm
Param #5414: delta OK; RMS=0.0010936 mm
Param #5433: delta OK; RMS=0.0010872 mm
Param #6797: delta OK; RMS=0.0011076 mm
Param #6808: delta OK; RMS=0.001088 mm
Param #6827: delta OK; RMS=0.0010709 mm
Param #6846: delta OK; RMS=0.0011187 mm
Param #6865: delta OK; RMS=0.0010587 mm
Param #6884: delta OK; RMS=0.001108 mm
Param #7073: delta OK; RMS=0.0011193 mm
Param #7092: delta OK; RMS=0.0010548 mm
Param #7111: delta OK; RMS=0.0011128 mm
Param #7130: delta OK; RMS=0.0010835 mm
Param #7149: delta OK; RMS=0.0010731 mm
Param #7162: delta OK; RMS=0.0011191 mm
Param #7181: delta OK; RMS=0.0010549 mm
Param #7200: delta OK; RMS=0.001113 mm
Param #7219: delta OK; RMS=0.0010833 mm
Param #7439: delta OK; RMS=0.001064 mm
Param #7458: delta OK; RMS=0.0011262 mm
Param #7477: delta OK; RMS=0.001053 mm
Param #7496: delta OK; RMS=0.001109 mm
Param #7509: delta OK; RMS=0.0010911 mm
Param #7528: delta OK; RMS=0.0010645 mm
Param #7547: delta OK; RMS=0.0011261 mm
Param #7566: delta OK; RMS=0.001053 mm
Param #7585: delta OK; RMS=0.0011094 mm
Param #87: delta OK; RMS=0.0020685 mm
Param #106: delta OK; RMS=0.0020328 mm
Param #125: delta OK; RMS=0.0020675 mm
Param #144: delta OK; RMS=0.0020473 mm
Param #161: delta OK; RMS=0.0020449 mm
Param #180: delta OK; RMS=0.0020687 mm
Param #199: delta OK; RMS=0.0020329 mm
Param #218: delta OK; RMS=0.0020674 mm
